id,name,style id,abv,ibu
1,Hocus Pocus,116,4,94
2,Grimbergen Blonde,51,1,15
3,Widdershins Barleywine,107,0,77
4,Lucifer,76,1,9
5,Bitter,133,5,19
6,Winter Warmer,13,7,38
8,Oatmeal Stout,42,0,56
9,Espresso Porter,103,7,8
10,Chocolate Stout,42,7,13
11,Hitachino Nest Real Ginger Brew,156,2,84
12,JuJu Ginger,90,2,89
13,The Kidd Lager,86,7,72
14,Imperial Stout,42,5,7
16,Ultrablonde,36,2,100
17,Wiesen Edel Weisse,50,1,83
18,Old Foghorn 2001,81,6,6
19,Framboise,48,3,50
20,Cow Palace Scotch Ale 1998,15,1,32
21,Pilsner Urquell BYO clone,152,2,75
22,White IPA,66,5,99
23,Brooklyn Sorachi Ace,149,12,56
24,Bigfoot 2004,78,6,3
25,Chocolate Vanilla Porter,23,2,100
26,Winter Ale,13,6,42
27,Full Moon Winter Ale,72,7,61
28,Odell IPA,31,4,22
29,Ornery Amber Lager,95,8,87
30,Cutthroat Porter,25,8,66
31,Maple Nut Brown Ale Ale,38,8,54
32,Cocoa Porter,91,9,81
33,Jenlain Blonde,106,10,74
34,Blonde,118,0,81
37,Winter Cheer,38,0,45
38,Canaster Winter Scotch,144,10,21
39,Breck Vanilla Porter Clone,76,11,60
40,Quelque Chose,70,5,23
41,Kriek,69,10,100
43,Maracaibo Especial,38,11,29
45,Calabaza Blanca,72,0,31
46,Porter,25,0,17
47,Cardinal Pale Ale,26,8,77
48,Zinnebir Xmas,117,12,73
49,Bridal Ale 2005,151,1,81
50,Zinnebir,26,12,54
51,Saison Imperiale,76,6,89
52,La Moneuse,61,4,33
53,Red Sled Winter Ale,111,9,90
54,Christmas Ale 2007,52,2,35
55,Equinox Dark Belgian Winter,6,0,8
56,Serafijn Christmas Angel,126,3,4
57,Obovoid Empirical Stout,43,0,96
58,Furious Beer,31,2,12
59,Bender Beer,38,5,30
60,Oak Aged Ebenezer,147,6,48
61,Killer Penguin,35,4,14
62,Oatmeal Stout,42,7,6
63,Isolation Ale,141,11,13
64,Festive Ale 2007,144,3,45
65,Bourbon County Stout 2007,71,4,58
66,Twelve Days,42,0,20
67,Seriously Bad Elf,56,9,49
68,Big Shot Seasonal Ale,25,11,32
70,Harvest Ale 2007,26,6,25
71,Nut Cracker Ale,141,2,62
72,Goosinator Smoked Doppelbock 2007,95,4,58
73,Snow Bound Winter Ale,170,3,69
74,Warrior IPA,31,1,51
75,Petrus Oud Bruin,54,11,90
76,Petrus Gouden Tripel Ale,29,9,67
77,Petrus Blond Ale,86,11,36
78,Petrus Dubbel Bruin Ale,60,8,69
79,Petrus Speciale,26,9,26
80,Weizengold Hefefein,50,8,23
81,Never Summer Ale,141,10,1
82,Modern Monks Belgian Blonde,26,4,0
83,Grand Cru,47,7,53
85,OSB Premium Ale,144,11,54
86,Morocco Ale,101,4,74
87,Glacier Ale,33,7,8
88,Bent Nail IPA,31,0,55
89,Espresso Porter,103,3,79
90,Harvest Ale,26,11,88
91,Stillwater Rye,105,9,43
92,Sharptail Pale Ale,26,9,60
93,Fat Belly Amber,33,7,18
94,Whitetail Wheat,95,3,75
95,Sandbagger Gold,124,3,61
