id,name,address,city,state,code,country,phone,website
1,(512) Brewing Company,"407 Radam, F200",Austin,Texas,78745,United States,512.707.2337,http://512brewing.com/
2,21st Amendment Brewery Cafe,563 Second Street,San Francisco,California,94107,United States,1-415-369-0900,http://www.21st-amendment.com/
3,3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,Hoogstraat 2A,Beersel,Vlaams Brabant,,Belgium,32-02-/-306-71-03,http://www.3fonteinen.be/index.htm
4,Aass Brewery,Ole Steensgt. 10 Postboks 1530,Drammen,,,Norway,47-32-26-60-00,http://www.aass.no
5,Abbaye de Leffe,Dinant,Dinant,Namur,,Belgium,,
6,Abbaye de Maredsous,"Rue de Maredsous, 11",Dene,Namur,,Belgium,32-(0)82-69-82-11,http://www.maredsous10.be/
7,Abbaye Notre Dame du St Remy,Rue de l'Abbaye 8,Rochefort,Namur,,Belgium,32-084/22.01.47,
8,Abbey Wright Brewing/Valley Inn,204 Valley Street,Williamsport,Pennsylvania,17702,United States,570.326.3383,http://www.valleyinnonline.com/
9,Aberdeen Brewing,210 Aberdeen Dr.,Valparaiso,Indiana,,United States,(219) 548-3300,
10,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana,70420,United States,800-737-2311,http://www.abita.com/
11,Adnams & Co.,IP18 6JW,Southwold,Suffolk,,United Kingdom,44-(01502)-727200,http://www.adnams.co.uk
12,Affligem Brouwerij,,Opwijk,,,Belgium,052/35 83 57,http://www.affligembeer.be/
13,Agassiz Brewing,PO Box 42008,Winnipeg,Manitoba,0,Canada,1-204-233-4677,
14,Aksarben Brewing (BOP),11337 Davenport St.,Omaha,Nebraska,68130,United States,,
15,Aktienbrauerei Kaufbeuren,Hohe Buchleuthe 3,Kaufbeuren,Bayern,,Germany,49-(0)8341-/-430430,http://www.aktien-brauerei.de/
16,Alameda Brewhouse,4765 NE Fremont,Portland,Oregon,97213,United States,1-503-460-9025,
17,Alaskan Brewing,5429 Shaune Drive,Juneau,Alaska,99801,United States,1-907-780-5866,http://www.alaskanbeer.com/
18,Alaus Darykla Kalnapilis,Taikos aleja 1,Panevys,,,Lithuania,370-45-505223,
19,Aldaris,Tvaika iela 44,Rga,,,Latvia,371-70-23-200,
20,Ale Asylum,3698 Kinsman Blvd,Madison,Wisconsin,53704,United States,6086633926,http://www.aleasylum.com/
21,AleSmith Brewing,9368 Cabot Drive,San Diego,California,92126,United States,1-858-549-9888,http://alesmith.com/
22,Ali`i Brewing,,Honolulu,Hawaii,,United States,,
23,Allagash Brewing,100 Industrial Way,Portland,Maine,4103,United States,1-800-330-5385,http://www.allagash.com/
25,Allentown Brew Works,814 W Hamilton St,Allentown,Pennsylvania,18101,United States,610.433.7777,http://www.thebrewworks.com/allentown-brewworks/
26,Allguer Brauhaus AG Kempten,Beethovenstrae 7,Kempten,Bayern,,Germany,49-(0)831-/-2050-0,
27,"Allguer Brauhaus AG Kempten, Brausttte Leuterschach",Schwendener Strae 18,Marktoberdorf,Bayern,,Germany,49-(0)8342-/-9647-0,
28,Alltech's Lexington Brewing Company,401 Cross Street,Lexington,Kentucky,40508,United States,1-859-887-3406,http://www.kentuckyale.com/kentuckyale/Index.html
29,Alpine Beer Company,2351 Alpine Boulevard,Alpine,California,91901,United States,1-619-445-2337,http://www.alpinebeerco.com/
30,Alpirsbacher Klosterbru,Marktplatz 1,Alpirsbach,Baden-Wrttemberg,,Germany,49-(0)7444-/-67-0,
31,Alvinne Picobrouwerij,Oostrozebekestraat 114,Ingelmunster,West-Vlaanderen,,Belgium,32-051-/-30-55-17,
32,America's Brewing,205 North Broadway,Aurora,Illinois,60505,United States,1-630-264-2739,
33,American River Brewing,,Auburn,California,,United States,,
34,Amerisports Brew Pub,8201 NE Birmingham Road,Kansas City,Missouri,64161,United States,1-816-414-7000,
